asset,coin,dex,yf_ticker,data_since
NVDA,NVDA,cash,NVDA,2025-11-12
NVDA,NVDA,flx,NVDA,2025-11-12
NVDA,NVDA,km,NVDA,2025-11-12
NVDA,NVDA,xyz,NVDA,2025-11-12
TSLA,TSLA,cash,TSLA,2025-11-13
TSLA,TSLA,flx,TSLA,2025-11-13
TSLA,TSLA,km,TSLA,2025-11-13
TSLA,TSLA,xyz,TSLA,2025-11-13
AAPL,AAPL,km,AAPL,2025-11-20
AAPL,AAPL,xyz,AAPL,2025-11-20
MSFT,MSFT,cash,MSFT,2025-11-20
MSFT,MSFT,xyz,MSFT,2025-11-20
GOOGL,GOOGL,cash,GOOGL,2025-11-20
GOOGL,GOOGL,km,GOOGL,2025-11-20
GOOGL,GOOGL,xyz,GOOGL,2025-11-20
META,META,cash,META,2025-11-20
META,META,xyz,META,2025-11-20
AMZN,AMZN,cash,AMZN,2025-11-20
AMZN,AMZN,xyz,AMZN,2025-11-20
COIN,COIN,flx,COIN,2025-11-20
COIN,COIN,xyz,COIN,2025-11-20
